,MolecularWeight,IsomericSMILES,IUPACName,name
71420,513.5,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4.Cl,"4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-N,N-dimethyl-2,2-diphenylbutanamide;hydrochloride",loperamide hydrochloride
71424,273.75,CCOC1=CC=CC=C1OCC2CNCCO2.Cl,2-[(2-ethoxyphenoxy)methyl]morpholine;hydrochloride,viloxazine hydrochloride
71446,518.0,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)OC4C5=CC=CC=C5C(=O)O4)C.Cl,"(3-oxo-1H-2-benzofuran-1-yl) (2S,5R,6R)-6-[[(2R)-2-amino-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate;hydrochloride",talampicillin hydrochloride
71478,313.9,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24.Cl,"N-methyl-3-(1-tetracyclo[6.6.2.02,7.09,14]hexadeca-2,4,6,9,11,13-hexaenyl)propan-1-amine;hydrochloride",maprotiline hydrochloride
71486,387.9,CC(C)(C)C(=O)OC1=C(C=C(C=C1)C(CNC)O)OC(=O)C(C)(C)C.Cl,"[2-(2,2-dimethylpropanoyloxy)-4-[1-hydroxy-2-(methylamino)ethyl]phenyl] 2,2-dimethylpropanoate;hydrochloride",dipivefrin hydrochloride
71587,436.4,C1CN(CCN1CCCN2C3=CC=CC=C3C=CC4=CC=CC=C42)CCO.Cl.Cl,2-[4-(3-benzo[b][1]benzazepin-11-ylpropyl)piperazin-1-yl]ethanol;dihydrochloride,opipramol dihydrochloride
71611,424.6,CC(C)(CC1=CC=CC=C1)NC.CC(C)(CC1=CC=CC=C1)NC.OS(=O)(=O)O,"N,2-dimethyl-1-phenylpropan-2-amine;sulfuric acid",mephentermine sulfate
71616,349.31,C[C@@H](C1=NC=NC=C1F)[C@](CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,"(2R,3S)-2-(2,4-difluorophenyl)-3-(5-fluoropyrimidin-4-yl)-1-(1,2,4-triazol-1-yl)butan-2-ol",voriconazole
71764,425.9,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC.Cl,"N-[3-[(4-amino-6,7-dimethoxyquinazolin-2-yl)-methylamino]propyl]oxolane-2-carboxamide;hydrochloride",alfuzosin hydrochloride
71771,354.2,C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl,"2-[2-[2-(2,6-dichloroanilino)phenyl]acetyl]oxyacetic acid",aceclofenac
71815,185.18,CC1=NC=C(N1CC(C)O)[N+](=O)[O-],1-(2-methyl-5-nitroimidazol-1-yl)propan-2-ol,secnidazole
72894,172.21,C1=CC=C(C(=C1)N)S(=O)(=O)N,2-aminobenzenesulfonamide,2-aminobenzenesulfonamide
73277,114.53,C1=CN=C(C=N1)Cl,2-chloropyrazine,2-chloropyrazine
73957,329.9,CCCCOC1=CC=C(C=C1)OCCCN2CCOCC2.Cl,4-[3-(4-butoxyphenoxy)propyl]morpholine;hydrochloride,pramoxine hydrochloride
74989,366.8,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,"3-[4-(4-chlorophenyl)cyclohexyl]-4-hydroxynaphthalene-1,2-dione",atovaquone
76621,207.66,C1COCCN1C(=N)N=C(N)N.Cl,N-(diaminomethylidene)morpholine-4-carboximidamide;hydrochloride,moroxydine hydrochloride
77991,250.34,CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C,[3-[(1S)-1-(dimethylamino)ethyl]phenyl] N-ethyl-N-methylcarbamate,rivastigmine
77995,405.3,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F.Br,1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-3H-2-benzofuran-5-carbonitrile;hydrobromide,citalopram hydrobromide
80311,326.3,CN(C)CCN(CC1=CC=C(C=C1)Cl)C2=CC=CC=N2.Cl,"N'-[(4-chlorophenyl)methyl]-N,N-dimethyl-N'-pyridin-2-ylethane-1,2-diamine;hydrochloride",chloropyramine hydrochloride
82153,434.5,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@]35C)F)O,"(1S,2S,4R,8S,9S,11S,12S,13R,19S)-19-fluoro-11-hydroxy-8-(2-hydroxyacetyl)-6,6,9,13-tetramethyl-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-16-one",flunisolide
83201,339.3,COC1=C(C(=C(C=C1)CN2CCNCC2)OC)OC.Cl.Cl,"1-[(2,3,4-trimethoxyphenyl)methyl]piperazine;dihydrochloride",trimetazidine dihydrochloride
83592,281.78,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(C)C.Cl,"1,5-dimethyl-2-phenyl-4-(propan-2-ylamino)pyrazol-3-one;hydrochloride",ramifenazone hydrochloride
84003,376.4,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O.C(C(CO)(CO)N)O,"2-amino-2-(hydroxymethyl)propane-1,3-diol;5-benzoyl-2,3-dihydro-1H-pyrrolizine-1-carboxylic acid",ketorolac tromethamine
84029,748.0,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,"(3R,4S,5S,6R,7R,9R,11R,12R,13S,14R)-6-[(2S,3R,4S,6R)-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-14-ethyl-12,13-dihydroxy-4-[(2R,4R,5S,6S)-5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl]oxy-7-methoxy-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione",clarithromycin
90010,525.6,CCN(CC)CCOCCOC(=O)C1(CCCC1)C2=CC=CC=C2.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,"2-[2-(diethylamino)ethoxy]ethyl 1-phenylcyclopentane-1-carboxylate;2-hydroxypropane-1,2,3-tricarboxylic acid",carbetapentane citrate
90045,234.19,CN(C)CCCSC(=N)N.Cl.Cl,3-(dimethylamino)propyl carbamimidothioate;dihydrochloride,dimaprit dihydrochloride
91268,198.18,CN1C2=C(C(=O)N(C1=O)C)NC=N2.O,"1,3-dimethyl-7H-purine-2,6-dione;hydrate",theophylline monohydrate
91442,241.76,CCN(CC)C(C)C(=O)C1=CC=CC=C1.Cl,2-(diethylamino)-1-phenylpropan-1-one;hydrochloride,diethylpropion hydrochloride
91505,393.9,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O.Cl,4-(diethylamino)but-2-ynyl 2-cyclohexyl-2-hydroxy-2-phenylacetate;hydrochloride,oxybutynin chloride
91513,447.8,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl.Cl,2-[2-[4-[(4-chlorophenyl)-phenylmethyl]piperazin-1-yl]ethoxy]ethanol;dihydrochloride,hydroxyzine dihydrochloride
91610,527.6,CC1(C2=C(C=C(C=C2)OC)C(=O)N(C1=O)CCC3=CC=C(C=C3)S(=O)(=O)NC(=O)NC4CCCCC4)C,"1-cyclohexyl-3-[4-[2-(7-methoxy-4,4-dimethyl-1,3-dioxoisoquinolin-2-yl)ethyl]phenyl]sulfonylurea",gliquidone
91668,370.5,CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@H]4C1=CC(=O)CC4,"[(8S,9S,10R,13S,14S,17R)-17-acetyl-6,13-dimethyl-3-oxo-1,2,8,9,10,11,12,14,15,16-decahydrocyclopenta[a]phenanthren-17-yl] acetate",nomegestrol acetate
92163,256.77,CCCNC(C)C(=O)NC1=CC=CC=C1C.Cl,N-(2-methylphenyl)-2-(propylamino)propanamide;hydrochloride,prilocaine hydrochloride
92178,638.9,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C.CS(=O)(=O)O.CS(=O)(=O)O,"N,N-dimethyl-10-[3-(4-methylpiperazin-1-yl)propyl]phenothiazine-2-sulfonamide;methanesulfonic acid",thioproperazine dimethanesulfonate
92722,508.6,C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C,"(2R,4R)-1-[(2S)-5-(diaminomethylideneamino)-2-[(3-methyl-1,2,3,4-tetrahydroquinolin-8-yl)sulfonylamino]pentanoyl]-4-methylpiperidine-2-carboxylic acid",argatroban
92806,353.9,CCN(CC)CCOC(=O)C(C1CCCCC1)C2=CC=CC=C2.Cl,2-(diethylamino)ethyl 2-cyclohexyl-2-phenylacetate;hydrochloride,drofenine hydrochloride
92863,149.21,CC(C)([C@@H](C(=O)O)N)S,(2R)-2-amino-3-methyl-3-sulfanylbutanoic acid,l-penicillamine
92876,292.2,CC(CN(C)C)C(C)(CC1=CC=C(C=C1)Cl)O.Cl,"1-(4-chlorophenyl)-4-(dimethylamino)-2,3-dimethylbutan-2-ol;hydrochloride",clobutinol hydrochloride
98889,204.22,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)O,"4-hydroxy-1,5-dimethyl-2-phenylpyrazol-3-one",4-hydroxyantipyrine
101925,271.78,CCCNC(C)(C)COC(=O)C1=CC=CC=C1.Cl,[2-methyl-2-(propylamino)propyl] benzoate;hydrochloride,meprylcaine hydrochloride
102175,281.27,CNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,"(2R,3S,4R,5R)-2-(hydroxymethyl)-5-[6-(methylamino)purin-9-yl]oxolane-3,4-diol",n6-methyladenosine
102426,297.82,CC(CNC1CCCCC1)OC(=O)C2=CC=CC=C2.Cl,1-(cyclohexylamino)propan-2-yl benzoate;hydrochloride,hexylcaine hydrochloride
102428,327.8,CC1CC(CC(N1C)(C)C)OC(=O)C(C2=CC=CC=C2)O.Cl,"(1,2,2,6-tetramethylpiperidin-4-yl) 2-hydroxy-2-phenylacetate;hydrochloride",eucatropine hydrochloride
102484,189.64,C1=CC(=CC=C1C(CN)O)O.Cl,4-(2-amino-1-hydroxyethyl)phenol;hydrochloride,770-05-8
102678,581.7,CCCCC(CC)CN=C(N)NC(=NCCCCCCN=C(N)NC(=NCC(CC)CCCC)N)N.Cl.Cl,1-[N'-[6-[[amino-[[N'-(2-ethylhexyl)carbamimidoyl]amino]methylidene]amino]hexyl]carbamimidoyl]-2-(2-ethylhexyl)guanidine;dihydrochloride,alexidine dihydrochloride
104741,606.8,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,"(7R,8R,9S,13S,14S,17S)-13-methyl-7-[9-(4,4,5,5,5-pentafluoropentylsulfinyl)nonyl]-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",fulvestrant
104769,331.8,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O.Cl,methyl 3-[4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]propanoate;hydrochloride,esmolol hydrochloride
104838,299.35,C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O,"(5R,6S)-3-[2-(aminomethylideneamino)ethylsulfanyl]-6-[(1R)-1-hydroxyethyl]-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid",imipenem
104845,332.5,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC(=O)[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@H](C4)O)C)C,"(3R,5S,8S,9S,10S,13S,14S,17S)-17-acetyl-3-hydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-11-one",alphaxalone
104865,551.6,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC,4-tert-butyl-N-[6-(2-hydroxyethoxy)-5-(2-methoxyphenoxy)-2-pyrimidin-2-ylpyrimidin-4-yl]benzenesulfonamide,bosentan
104920,523.5,C1CN(CCN1CCCC2=CC=CC=C2)CCOC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F.Cl.Cl,1-[2-[bis(4-fluorophenyl)methoxy]ethyl]-4-(3-phenylpropyl)piperazine;dihydrochloride,67469-78-7
104981,668.4,CC[N+](C)(CC)CCC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[I-].[I-],"3-(3,8-diamino-6-phenylphenanthridin-5-ium-5-yl)propyl-diethyl-methylazanium;diiodide",propidium iodide
107751,385.5,CC(=O)SCC(CC1=CC=CC=C1)C(=O)NCC(=O)OCC2=CC=CC=C2,benzyl 2-[[2-(acetylsulfanylmethyl)-3-phenylpropanoyl]amino]acetate,racecadotril
107807,368.5,CCC[C@@H](C(=O)OCC)N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)O,"(2S,3aS,7aS)-1-[(2S)-2-[[(2S)-1-ethoxy-1-oxopentan-2-yl]amino]propanoyl]-2,3,3a,4,5,6,7,7a-octahydroindole-2-carboxylic acid",perindopril
107882,625.6,CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.O.Cl.Cl,"(6aR)-6-methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-10,11-diol;hydrate;dihydrochloride",apomorphine hydrochloride hemihydrate
107952,343.9,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O.Cl,1-[4-[2-(cyclopropylmethoxy)ethyl]phenoxy]-3-(propan-2-ylamino)propan-2-ol;hydrochloride,betaxolol hydrochloride
108013,414.56,C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O.Cl,"4-[(2-amino-3,5-dibromophenyl)methylamino]cyclohexan-1-ol;hydrochloride",ambroxol hydrochloride
108173,228.72,CC1=C(C(=CC=C1)C)NC(=O)C(C)N.Cl,"2-amino-N-(2,6-dimethylphenyl)propanamide;hydrochloride",tocainide hydrochloride
114811,358.2,CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CF)NC(=O)C(Cl)Cl)O,"2,2-dichloro-N-[(1R,2S)-3-fluoro-1-hydroxy-1-(4-methylsulfonylphenyl)propan-2-yl]acetamide",florfenicol
114869,290.17,C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl.Cl,"5-chloro-N-(4,5-dihydro-1H-imidazol-2-yl)-2,1,3-benzothiadiazol-4-amine;hydrochloride",tizanidine hydrochloride
115162,476.0,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)N=CN3CCCCCC3)C(=O)OCOC(=O)C(C)(C)C)C.Cl,"2,2-dimethylpropanoyloxymethyl (2S,5R,6R)-6-(azepan-1-ylmethylideneamino)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate;hydrochloride",pivmecillinam hydrochloride
119570,211.33,CCCN[C@H]1CCC2=C(C1)SC(=N2)N,"(6S)-6-N-propyl-4,5,6,7-tetrahydro-1,3-benzothiazole-2,6-diamine",pramipexole
121587,368.3,CN1CC[C@@]23C=C[C@@H](C[C@@H]2OC4=C(C=CC(=C34)C1)OC)O.Br,"(1S,12S,14R)-9-methoxy-4-methyl-11-oxa-4-azatetracyclo[8.6.1.01,12.06,17]heptadeca-6(17),7,9,15-tetraen-14-ol;hydrobromide",galanthamine hydrobromide
122824,348.9,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31.Cl,"N,N-diethyl-1-phenothiazin-10-ylpropan-2-amine;hydrochloride",ethopropazine hydrochloride
123601,275.77,CC(C)(C)NC[C@@H](C1=CC(=C(C=C1)O)CO)O.Cl,4-[(1R)-2-(tert-butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol;hydrochloride,levalbuterol hydrochloride
123619,358.8,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,5-chloro-2-(6-methylpyridin-3-yl)-3-(4-methylsulfonylphenyl)pyridine,etoricoxib
123630,300.29,C[C@@]1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)CN3C=CN=N3,"(2S,3S,5R)-3-methyl-4,4,7-trioxo-3-(triazol-1-ylmethyl)-4lambda6-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",tazobactam
123631,446.9,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,N-(3-chloro-4-fluorophenyl)-7-methoxy-6-(3-morpholin-4-ylpropoxy)quinazolin-4-amine,gefitinib
124087,310.8,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,"13-chloro-2-piperidin-4-ylidene-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaene",desloratadine
126941,454.4,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,"(2S)-2-[[4-[(2,4-diaminopteridin-6-yl)methyl-methylamino]benzoyl]amino]pentanedioic acid",methotrexate
130313,233.24,CC1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)C,"(2S,5R)-3,3-dimethyl-4,4,7-trioxo-4lambda6-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",sulbactam
130881,558.6,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)OCC5=C(OC(=O)O5)C)C(C)(C)O,"(5-methyl-2-oxo-1,3-dioxol-4-yl)methyl 5-(2-hydroxypropan-2-yl)-2-propyl-3-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]imidazole-4-carboxylate",olmesartan medoxomil
131204,205.25,CC(C)(CO)[C@H](C(=O)NCCCO)O,"(2R)-2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide",dexpanthenol
134453,307.8,CNCCC(C1=CC=CC=C1)OC2=CC=CC=C2OC.Cl,3-(2-methoxyphenoxy)-N-methyl-3-phenylpropan-1-amine;hydrochloride,nisoxetine hydrochloride
134575,308.12,C[N+]1=CC=CC(=C1)OC(=O)N(C)C.[I-],"(1-methylpyridin-1-ium-3-yl) N,N-dimethylcarbamate;iodide",pyridostigmine iodide
146571,414.4,CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F.C(=O)(C(=O)O)O,(1S)-1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-3H-2-benzofuran-5-carbonitrile;oxalic acid,escitalopram oxalate
151194,346.8,C1=CC=C2C(=C1)C(=NN=C2NC3=CC=C(C=C3)Cl)CC4=CC=NC=C4,N-(4-chlorophenyl)-4-(pyridin-4-ylmethyl)phthalazin-1-amine,vatalanib
152946,401.4,COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,"7-[(4aS,7aS)-1,2,3,4,4a,5,7,7a-octahydropyrrolo[3,4-b]pyridin-6-yl]-1-cyclopropyl-6-fluoro-8-methoxy-4-oxoquinoline-3-carboxylic acid",moxifloxacin
154417,289.4,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)[C@H](CO)C3=CC=CC=C3,"[(1R,5S)-8-methyl-8-azabicyclo[3.2.1]octan-3-yl] (2S)-3-hydroxy-2-phenylpropanoate",hyoscyamine
154494,240.68,C1CN=C(N1)C2COC3=CC=CC=C3O2.Cl,"2-(2,3-dihydro-1,4-benzodioxin-3-yl)-4,5-dihydro-1H-imidazole;hydrochloride",idazoxan hydrochloride
155290,289.8,CN1CCOC(C2=CC=CC=C2C1)C3=CC=CC=C3.Cl,"5-methyl-1-phenyl-1,3,4,6-tetrahydro-2,5-benzoxazocine;hydrochloride",nefopam hydrochloride
155434,400.5,CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2],calcium;3-acetamidopropane-1-sulfonate,acamprosate calcium
160436,212.67,C1=CC2=C(C=C1O)C(=CN2)CCN.Cl,3-(2-aminoethyl)-1H-indol-5-ol;hydrochloride,serotonin hydrochloride
161104,366.3,C1CCN(CC1)CCOC(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl,1-[2-[(4-chlorophenyl)-phenylmethoxy]ethyl]piperidine;hydrochloride,cloperastine hydrochloride
161803,425.3,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C(=O)COC4=CC=C(C=C4)Cl.Cl,"1-[4-(1,3-benzodioxol-5-ylmethyl)piperazin-1-yl]-2-(4-chlorophenoxy)ethanone;hydrochloride",fipexide hydrochloride
164652,217.69,CCNCC(C1=CC(=CC=C1)O)O.Cl,3-[2-(ethylamino)-1-hydroxyethyl]phenol;hydrochloride,etilefrine hydrochloride
164739,183.20,C[C@@H]([C@@H](C1=CC(=C(C=C1)O)O)O)N,"4-[(1R,2S)-2-amino-1-hydroxypropyl]benzene-1,2-diol",levonordefrin
165193,295.80,CC(C)NC[C@@H](COC1=CC=CC2=CC=CC=C21)O.Cl,(2S)-1-naphthalen-1-yloxy-3-(propan-2-ylamino)propan-2-ol;hydrochloride,(s)-(-)-propranolol hydrochloride
165542,391.5,CS(=O)(=O)O.C1CCN(CC1)CCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,"1,1-diphenyl-3-piperidin-1-ylpropan-1-ol;methanesulfonic acid",pridinol methanesulfonate
167980,423.9,CN1C(=CC(=O)N(C1=O)C)NCCCN2CCN(CC2)C3=CC=CC=C3OC.Cl,"6-[3-[4-(2-methoxyphenyl)piperazin-1-yl]propylamino]-1,3-dimethylpyrimidine-2,4-dione;hydrochloride",urapidil hydrochloride
168993,429.5,CN1CCC(=C2C3=C(CCC4=CC=CC=C42)SC=C3)CC1.C(C(C(=O)O)O)C(=O)O,"2-hydroxybutanedioic acid;1-methyl-4-(6-thiatricyclo[8.4.0.03,7]tetradeca-1(14),3(7),4,10,12-pentaen-2-ylidene)piperidine",pizotifen malate
170344,322.36,CCC1=C(C(=CC=C1)CC)NC(=O)CN(CC(=O)O)CC(=O)O,"2-[carboxymethyl-[2-(2,6-diethylanilino)-2-oxoethyl]amino]acetic acid",etifenin
170367,205.68,CC(=O)OC1CN2CCC1CC2.Cl,1-azabicyclo[2.2.2]octan-3-yl acetate;hydrochloride,aceclidine hydrochloride
171548,244.31,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2,"5-[(3aS,4S,6aR)-2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl]pentanoic acid",biotin
175533,510.2,CCCCCCC[N+](CC)(CC)CCCCC1=CC=C(C=C1)Cl.CC1=CC=C(C=C1)S(=O)(=O)[O-],4-(4-chlorophenyl)butyl-diethyl-heptylazanium;4-methylbenzenesulfonate,clofilium tosylate
175540,266.34,CC(C)NC[C@@H](COC1=CC=C(C=C1)CC(=O)N)O,2-[4-[(2S)-2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]acetamide,esatenolol
176870,393.4,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,"N-(3-ethynylphenyl)-6,7-bis(2-methoxyethoxy)quinazolin-4-amine",erlotinib
180559,266.34,CC(C)NC[C@H](COC1=CC=C(C=C1)CC(=O)N)O,2-[4-[(2R)-2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]acetamide,(r)-(+)-atenolol
181458,215.76,CC12CC3CC(C1)(CC(C3)(C2)N)C.Cl,"3,5-dimethyladamantan-1-amine;hydrochloride",memantine hydrochloride
189821,441.5,CC1=N[C@@]2([C@H](O1)C[C@@H]3[C@@]2(C[C@@H]([C@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)C(=O)COC(=O)C,"[2-[(1S,2S,4R,8S,9S,11S,12S,13R)-11-hydroxy-6,9,13-trimethyl-16-oxo-5-oxa-7-azapentacyclo[10.8.0.02,9.04,8.013,18]icosa-6,14,17-trien-8-yl]-2-oxoethyl] acetate",deflazacort
190541,680.9,CC(C)(C)NCC(COC1=CC=CC=C1C2CCCC2)O.CC(C)(C)NCC(COC1=CC=CC=C1C2CCCC2)O.OS(=O)(=O)O,1-(tert-butylamino)-3-(2-cyclopentylphenoxy)propan-2-ol;sulfuric acid,103437-28-1
195164,397.3,C1CC2=CC=CC=C2C3=NN=C(C=C3C1)NCCN4CCOCC4.Cl.Cl,"N-(2-morpholin-4-ylethyl)-3,4-diazatricyclo[9.4.0.02,7]pentadeca-1(15),2,4,6,11,13-hexaen-5-amine;dihydrochloride",115767-94-7
196122,478.6,CCOC1[C@@H]([C@H]([C@H](O1)[C@@H](COCC2=CC=CC=C2)OCC3=CC=CC=C3)OCC4=CC=CC=C4)O,"(3R,4R,5R)-5-[(1R)-1,2-bis(phenylmethoxy)ethyl]-2-ethoxy-4-phenylmethoxyoxolan-3-ol",tribenoside
197162,712.7,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N.OS(=O)(=O)O,"(2R,3S,4R,5R,6R)-5-amino-2-(aminomethyl)-6-[(1R,2R,3S,4R,6S)-4,6-diamino-2-[(2S,3R,4S,5R)-4-[(2R,3R,4R,5S,6S)-3-amino-6-(aminomethyl)-4,5-dihydroxyoxan-2-yl]oxy-3-hydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-3-hydroxycyclohexyl]oxyoxane-3,4-diol;sulfuric acid",neomycin sulfate
197712,378.4,CC1=CC(=NC(=N1)OC(C(=O)O)C(C2=CC=CC=C2)(C3=CC=CC=C3)OC)C,"2-(4,6-dimethylpyrimidin-2-yl)oxy-3-methoxy-3,3-diphenylpropanoic acid",(+/-)-ambrisentan
198015,387.8,CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C2=CC=CC=C2.Cl,2-[1-[3-(trifluoromethyl)phenyl]propan-2-ylamino]ethyl benzoate;hydrochloride,benfluorex hydrochloride
198334,328.4,CNCCC1=CC=CC=N1.CS(=O)(=O)O.CS(=O)(=O)O,methanesulfonic acid;N-methyl-2-pyridin-2-ylethanamine,betahistine mesylate
200103,500.8,C1=CC2=C(C(=C1)Cl)SC=C2COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl.[N+](=O)(O)[O-],"1-[2-[(7-chloro-1-benzothiophen-3-yl)methoxy]-2-(2,4-dichlorophenyl)ethyl]imidazole;nitric acid",sertaconazole nitrate
