Sr.No.,Name,SMILES,CAS No,Mol. Wt.,Mol. Formula,PubChem,ZINC
287,Hexitol,C(C(C(C(C(CO)O)O)O)O)O,45007-61-2,182.17,C20H22O6,453,ZINC95921600
288,Fluoroacetate,C(C(=O)[O-])F,513-62-2,77.03,C2H3FO2,5236,ZINC4658594
289,Sodium iodide,[Na+].[I-],7681-82-5,149.89,NaI,5238,
290,"Hexa-2,4-dienoic acid",CC=CC=CC(=O)O,103475-72-5,112.13,C6H8O2,5251,ZINC1558385
291,Strychnidin-10-one,C1CN2CC3=CCOC4CC(=O)N5C6C4C3CC2C61C7=CC=CC=C75,57-24-9,334.41,C21H22N2O2,5304,ZINC119434
292,Sulfamethazine,CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C,57-68-1,278.33,C12H14N4O2S,5327,ZINC57494
293,Sulfamethoxazole,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,723-46-6,253.28,C11H12N4O2S,5329,ZINC57501
294,Sulfisoxazole,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,127-69-5,267.30,C11H13N3O3S,5344,ZINC96006009
295,"4,5,6,7-Tetrabromo-3',3'-disulfophenolphthalein",C1=CC(=C(C=C1C2(C3=C(C(=C(C(=C3Br)Br)Br)Br)C(=O)O2)C4=CC(=C(C=C4)O)S(=O)(=O)O)S(=O)(=O)O)O,297-83-6,794.03,C20H10Br4O10S2,5345,ZINC3831484
296,2-Oxoglutaric acid,C(CC(=O)O)C(=O)C(=O)O,328-50-7,146.10,C5H6O5,51,ZINC1532519
297,Aminocaproic acid,C(CCC(=O)O)CCN,60-32-2,131.17,C6H13NO2,564,ZINC1529425
298,Tebuthiuron,CC(C)(C)C1=NN=C(S1)N(C)C(=O)NC,34014-18-1,228.31,C9H16N4OS,5383,ZINC43452
299,"13-Hydroxy-3-oxo-13,17-secoandrosta-1,4-dien-17-oic acid delta-lactone",CC12CCC3C(C1CCC(=O)O2)CCC4=CC(=O)C=CC34C,_,300.39,C19H24O3,5407,ZINC2140
300,Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C,83-67-0,180.16,C7H8N4O2,5429,ZINC2151
301,Thiabendazole,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,148-79-8,201.25,C10H7N3S,5430,ZINC73711
302,Thiothixene,CN1CCN(CC1)CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C,5591-45-7,443.63,C23H29N3O2S2,5454,ZINC30690433
303,Tolazamide,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCCC2,1156-19-0,311.40,C14H21N3O3S,5503,ZINC57512
304,Tolnaftate,CC1=CC(=CC=C1)N(C)C(=S)OC2=CC3=CC=CC=C3C=C2,2398-96-1,307.41,C19H17NOS,5510,ZINC57522
305,Triamterene,C1=CC=C(C=C1)C2=NC3=C(N=C2N)N=C(N=C3N)N,396-01-0,253.26,C12H11N7,5546,ZINC120286
306,Trichlormethiazide,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C(Cl)Cl,133-67-5,380.66,C8H8Cl3N3O4S2,5560,ZINC897234
307,Trifluralin,CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],1582-09-8,335.28,C13H16F3N3O4,5569,ZINC3873953
308,Cytosine-beta-D-arabinofuranoside,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,7428-39-9,243.22,C9H13N3O5,596,ZINC2583632
309,Trimethoprim,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,738-70-5,290.32,C14H18N4O3,5578,ZINC6627681
310,Urethane,CCOC(=O)N,51-79-6,89.09,C3H7NO2,5641,ZINC901020
311,Zinc chloride,Cl[Zn]Cl,7646-85-7,136.29,ZN2Cl,5727,
312,Zonisamide,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,68291-97-4,212.23,C8H8N2O3S,5734,ZINC4321
313,Hydrocortisone,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,50-23-7,362.46,C21H30O5,5754,ZINC13540519
314,Prednisolone,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,50-24-8,360.44,C21H28O5,5755,ZINC3833821
315,Estriol,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,50-27-1,288.38,C18H24O3,5756,ZINC3815418
316,Estradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,50-28-2,272.38,C18H24O2,5757,ZINC13520815
317,Lysergide,CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,323.43,C20H25N3O,5761,ZINC96903803
318,Reserpine,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,50-55-5,608.68,C33H40N2O9,5770,ZINC3938746
319,DL-Glutamic acid,C(CC(=O)O)C(C(=O)O)N,617-65-2,147.13,C5H9NO4,611,ZINC895124
320,Floxuridine,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)F)CO)O,50-91-9,246.19,C9H11FN2O5,5790,ZINC3813010
321,Triethylenemelamine,C1CN1C2=NC(=NC(=N2)N3CC3)N4CC4,51-18-3,204.23,C9H12N6,5799,ZINC1530868
322,Epinephrine,CNC[C@@H](C1=CC(=C(C=C1)O)O)O,51-43-4,183.20,C9H13NO3,5816,ZINC39089
323,Carbachol,C[N+](C)(C)CCOC(=O)N.[Cl-],51-83-2,182.65,C6H15N2O2+,5831,ZINC3079342
324,Prednisone,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C,53-03-2,358.43,C21H26O5,5865,ZINC3875357
325,Estrone,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O,53-16-7,270.37,C18H22O2,5870,ZINC13509425
326,Fluprednisolone,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)C[C@@H](C4=CC(=O)C=C[C@]34C)F)O,53-34-9,378.43,C21H27FO5,5876,ZINC3875362
327,Oxandrolone,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(COC(=O)C4)C,53-39-4,306.44,C19H30O3,5878,ZINC3813047
328,Lactic acid,CC(C(=O)O)O,50-21-5,90.08,C3H6O3,612,ZINC4658560
329,Alanine,C[C@@H](C(=O)O)N,56-41-7,89.09,C3H7NO2,5950,ZINC4658556
330,Aspartic acid,C([C@@H](C(=O)O)N)C(=O)O,56-84-8,133.10,C4H7NO4,5960,ZINC895218
331,Lysine,C(CCN)C[C@@H](C(=O)O)N,56-87-1,146.19,C6H14N2O2,5962,ZINC1532522
332,Physostigmine,C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,57-47-6,275.35,C15H21N3O2,5983,ZINC53022903
333,Sulfamic acid,NS(=O)(=O)O,5329-14-6,97.09,H3NO3S,5987,ZINC238809066
334,Sucrose,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,57-50-1,342.30,C12H22O11,5988,ZINC4217475
335,Ethinyl estradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,57-63-6,296.40,C20H24O2,5991,ZINC968304
336,Chlordane,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,57-74-9,409.78,C10H8Cl8,5993,ZINC100066732
337,DL-Proline,C1CC(NC1)C(=O)O,609-36-9,115.13,C5H9NO2,614,ZINC895071
338,Progesterone,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,57-83-0,314.46,C21H30O2,5994,ZINC4428529
339,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,57-88-5,386.65,C27H46O,5997,ZINC3875383
340,"7,12-Dimethylbenz[a]anthracene",CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C,57-97-6,256.34,C20H16,6001,ZINC1600920
341,Aminopyrine,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,58-15-1,231.29,C13H17N3O,6009,ZINC57115
342,Methyltestosterone,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C)O)C,58-18-4,302.45,C20H30O2,6010,ZINC3814422
343,Testosterone,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C,58-22-0,288.42,C19H28O2,6013,ZINC118912393
344,"10,10'-Oxybisphenoxarsine",C1=CC=C2C(=C1)OC3=CC=CC=C3[As]2O[As]4C5=CC=CC=C5OC6=CC=CC=C64,58-36-6,502.23,C24H16As2O3,6017,
345,Pyridoxine hydrochloride,CC1=NC=C(C(=C1O)CO)CO.Cl,58-56-0,205.64,C8H11NO3,6019,ZINC49154
346,Folic acid,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N,59-30-3,441.40,C19H19N7O6,6037,ZINC8577218
347,Levodopa,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,59-92-7,197.19,C9H11NO4,6047,ZINC895199
348,Tyrosine,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,60-18-4,181.19,C9H11NO3,6057,ZINC266964
349,Methoxamine,CC(C(C1=C(C=CC(=C1)OC)OC)O)N,390-28-3,211.26,C11H17NO3,6082,ZINC57407
350,Leucine,CC(C)C[C@@H](C(=O)O)N,61-90-5,131.17,C6H13NO2,6106,ZINC3645145
351,Carbaryl,CNC(=O)OC1=CC=CC2=CC=CC=C21,63-25-2,201.22,C12H11NO2,6129,ZINC1090
352,beta-Lactose,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,5965-66-2,342.30,C12H22O11,6134,ZINC4095761
353,m-Cumenyl methylcarbamate,CC(C)C1=CC(=CC=C1)OC(=O)NC,64-00-6,193.24,C11H15NO2,6143,ZINC397931
354,Colchicine,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,64-86-8,399.44,C22H25NO6,6167,ZINC621853
355,Gallamine triethiodide,CC[N+](CC)(CC)CCOC1=C(C(=CC=C1)OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC.[I-].[I-].[I-],65-29-2,891.53,C30H60N3O3+3,6172,ZINC3830882
356,Uracil mustard,C1=C(C(=O)NC(=O)N1)N(CCCl)CCCl,66-75-1,252.10,C8H11Cl2N3O2,6194,ZINC2235
357,Formamide,C(=O)N,75-12-7,45.04,CH3NO,713,
358,Fluocinolone acetonide,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@@]53C)F)F)O,67-73-2,452.49,C24H30F2O6,6215,ZINC3977981
359,Sodium citrate,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+],68-04-2,258.07,C6H8O7,6224,ZINC895081
360,Norethindrone,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,68-22-4,298.42,C20H26O2,6230,ZINC968187
361,Norethynodrel,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3CCC(=O)C4,68-23-5,298.42,C20H26O2,6231,ZINC118913164
362,Cycloserine,C1[C@H](C(=O)NO1)N,68-41-7,102.09,C3H6N2O2,6234,ZINC34676245
363,Mannitol,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,69-65-8,182.17,C6H14O6,6251,ZINC2041302
364,Cytarabine hydrochloride,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O.Cl,69-74-9,279.68,C9H13N3O5,6252,ZINC2583632
365,Cytarabine,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,147-94-4,243.22,C9H13N3O5,6253,ZINC3795098
366,Asparagine,C([C@@H](C(=O)O)N)C(=O)N,70-47-3,132.12,C4H8N2O3,6267,ZINC1529313
367,Glutaric acid,C(CC(=O)O)CC(=O)O,110-94-1,132.11,C5H8O4,743,ZINC388706
368,Histidine,C1=C(NC=N1)C[C@@H](C(=O)O)N,71-00-1,155.15,C6H9N3O2,6274,ZINC6661227
369,Digitaline nativelle,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5CC[C@]7([C@@]6(CC[C@H]7C8=CC(=O)OC8)O)C)C)C)C)O)O,null,764.94,C41H64O13,6281,ZINC8101076
370,Sulfobromophthalein,C1=CC(=C(C=C1C2(C3=C(C(=C(C(=C3Br)Br)Br)Br)C(=O)O2)C4=CC(=C(C=C4)O)S(=O)(=O)[O-])S(=O)(=O)[O-])O.[Na+].[Na+],71-67-0,838.00,C20H10Br4O10S2,6282,ZINC3831484
371,Tetraethylammonium bromide,CC[N+](CC)(CC)CC.[Br-],71-91-0,210.16,C8H20N+,6285,ZINC896981
372,Valine,CC(C)[C@@H](C(=O)O)N,72-18-4,117.15,C5H11NO2,6287,ZINC895099
373,Methaqualone,CC1=CC=CC=C1N2C(=NC3=CC=CC=C3C2=O)C,72-44-6,250.30,C16H14N2O,6292,ZINC2568176
374,Methandrostenolone,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CCC4=CC(=O)C=C[C@]34C,72-63-9,300.44,C20H28O2,6300,ZINC3875469
375,Tryptophan,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,73-22-3,204.23,C11H12N2O2,6305,ZINC83315
376,l-Isoleucine,CC[C@H](C)[C@@H](C(=O)O)N,73-32-5,131.17,C6H13NO2,6306,ZINC3581355
377,Quinethazone,CCC1NC2=CC(=C(C=C2C(=O)N1)S(=O)(=O)N)Cl,73-49-4,289.74,C10H12ClN3O3S,6307,ZINC896838
378,Glycine,C(C(=O)O)N,56-40-6,75.07,C2H5NO2,750,ZINC4658552
379,Arginine,C(C[C@@H](C(=O)O)N)CN=C(N)N,74-79-3,174.20,C6H14N4O2,6322,ZINC1532525
380,Bromomethane,CBr,74-83-9,94.94,CH3Br,6323,
381,Ethane,CC,74-84-0,30.07,C2H6,6324,
382,Propane,CCC,74-98-6,44.10,C3H8,6334,ZINC71769112
383,Vinyl chloride,C=CCl,75-01-4,62.50,C2H3Cl,6338,ZINC71772019
384,Cyclopropane,C1CC1,75-19-4,42.08,C3H6,6351,
385,Ethylene oxide,C1CO1,75-21-8,44.05,C2H4O,6354,
386,"1,1-Difluoroethane",CC(F)F,75-37-6,66.05,C2H4F2,6368,ZINC43860508
387,Vinylidene fluoride,C=C(F)F,75-38-7,64.03,C2H2F2,6369,ZINC40454360
388,Dichlorofluoromethane,C(F)(Cl)Cl,75-43-4,102.92,CHCl2F,6370,ZINC43356624
389,Glycerol,C(C(CO)O)O,56-81-5,92.09,C3H8O3,753,ZINC895048
390,Trifluoromethane,C(F)(F)F,75-46-7,70.01,CHF3,6373,ZINC58632420
391,Bromotrifluoromethane,C(F)(F)(F)Br,75-63-8,148.91,CBrF3,6384,ZINC95754162
392,"1-Chloro-1,1-difluoroethane",CC(F)(F)Cl,75-68-3,100.50,C2H3ClF2,6388,ZINC45329281
393,Trichlorofluoromethane,C(F)(Cl)(Cl)Cl,75-69-4,137.37,CCl3F,6389,ZINC8214698
394,Dichlorodifluoromethane,C(F)(F)(Cl)Cl,75-71-8,120.91,CCl2F2,6391,ZINC8214541
395,Chlorotrifluoromethane,C(F)(F)(F)Cl,75-72-9,104.46,CClF3,6392,ZINC59682964
396,Carbon tetrafluoride,C(F)(F)(F)F,75-73-0,88.00,CF4,6393,ZINC8214569
397,Dichlorotetrafluoroethane,C(C(F)(F)Cl)(F)(F)Cl,76-14-2,170.92,C2Cl2F4,6429,ZINC8214542
398,Chloropentafluoroethane,C(C(F)(F)Cl)(F)(F)F,76-15-3,154.47,C2ClF5,6430,ZINC42804200
399,Fluoxymesterone,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@]2([C@H](C[C@]4([C@H]3CC[C@]4(C)O)C)O)F,76-43-7,336.44,C20H29FO3,6446,ZINC3875484
400,"1,2-Ethanediol",C(CO)O,107-21-1,62.07,C2H6O2,174,ZINC5224354
401,Glycolic acid,C(C(=O)O)O,79-14-1,76.05,C2H4O3,757,ZINC4658557
402,Gibberellic acid,C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O,77-06-5,346.37,C19H22O6,6466,ZINC3860467
403,Methsuximide,CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2,77-41-8,203.24,C12H13NO2,6476,ZINC14257
404,Carbromal,CCC(CC)(C(=O)NC(=O)N)Br,77-65-6,237.09,C7H13BrN2O2,6488,ZINC1093
405,Acetyl triethyl citrate,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)OC(=O)C,77-89-4,318.32,C14H22O8,6504,ZINC3875492
406,Tri-O-cresyl phosphate,CC1=CC=CC=C1OP(=O)(OC2=CC=CC=C2C)OC3=CC=CC=C3C,78-30-8,368.36,C21H21O4P,6527,ZINC1555526
407,Diphenyl p-tolyl phosphate,CC1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,78-31-9,340.31,C19H17O4P,6528,ZINC2041271
408,Tricresyl phosphate,CC1=CC=C(C=C1)OP(=O)(OC2=CC=C(C=C2)C)OC3=CC=C(C=C3)C,78-32-0,368.36,C21H21O4P,6529,ZINC1577195
409,Isoprene,CC(=C)C=C,78-79-5,68.12,C5H8,6557,ZINC1699876
410,Acrylamide,C=CC(=O)N,79-06-1,71.08,C3H5NO,6579,ZINC901075
411,Anisotropine methylbromide,CCCC(CCC)C(=O)OC1C[C@H]2CC[C@H](C1)[N+]2(C)C.[Br-],80-50-2,362.35,C17H32NO2+,657201,ZINC100036830
412,Carbonic acid,C(=O)(O)O,463-79-6,62.02,CH2O3,767,ZINC6827693
413,Terpin,CC1(CCC(CC1)C(C)(C)O)O,80-53-5,172.26,C10H20O2,6651,ZINC2137
414,Diphacinone,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)C3C(=O)C4=CC=CC=C4C3=O,82-66-6,340.37,C23H16O3,6719,ZINC100044649
415,Cyclizine,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,82-92-8,266.38,C18H22N2,6726,ZINC19156872
416,Pindone,CC(C)(C)C(=O)C1C(=O)C2=CC=CC=C2C1=O,83-26-1,230.26,C14H14O3,6732,ZINC100044618
417,Diethyl phthalate,CCOC(=O)C1=CC=CC=C1C(=O)OCC,84-66-2,222.24,C12H14O4,6781,ZINC1287
418,5-Chloro-2-hydroxybenzophenone,C1=CC=C(C=C1)C(=O)C2=C(C=CC(=C2)Cl)O,85-19-8,232.66,C13H9ClO2,6799,ZINC136128
419,Guanosine-5'-monophosphate,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=NC2=O)N,85-32-5,363.22,C10H14N5O8P,135398631,ZINC2159505
420,Butoxycarbonylmethyl butyl phthalate,CCCCOC(=O)COC(=O)C1=CC=CC=C1C(=O)OCCCC,85-70-1,336.38,C18H24O6,6819,ZINC3875591
421,Bicarbonate,C(=O)(O)[O-],71-52-3,61.02,CH2O3,769,ZINC6827693
422,1-Nitronaphthalene,C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-],86-57-7,173.17,C10H7NO2,6849,ZINC1700069
423,1-Naphthylacetic acid,C1=CC=C2C(=C1)C=CC=C2CC(=O)O,86-87-3,186.21,C12H10O2,6862,ZINC391809
424,Penicillin v,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C,87-08-1,350.39,C16H18N2O5S,6869,ZINC3831282
425,Isosorbide dinitrate,C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O[N+](=O)[O-])O[N+](=O)[O-],87-33-2,236.14,C6H8N2O8,6883,ZINC18089317
426,Xylitol,C([C@H](C([C@H](CO)O)O)O)O,87-99-0,152.15,C5H12O5,6912,ZINC100018612
427,N-Vinyl-2-pyrrolidone,C=CN1CCCC1=O,88-12-0,111.14,C6H9NO,6917,ZINC3590964
428,2-Furoic acid,C1=COC(=C1)C(=O)O,88-14-2,112.08,C5H4O3,6919,ZINC158555
429,Picric acid,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],88-89-1,229.10,C6H3N3O7,6954,ZINC71129432
430,9-Aminoacridine,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)N,90-45-9,194.23,C13H10N2,7019,ZINC19014768
431,Gluconolactone,C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O,90-80-2,178.14,C6H10O6,7027,ZINC2539702
432,Mecoprop,CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O,93-65-2,214.65,C10H11ClO3,7153,ZINC256144
433,Thioquinox,C1=CC=C2C(=C1)N=C3C(=N2)SC(=S)S3,93-75-4,236.34,C9H4N2S3,7159,ZINC2041188
434,Bis(4-chlorobenzoyl) peroxide,C1=CC(=CC=C1C(=O)OOC(=O)C2=CC=C(C=C2)Cl)Cl,94-17-7,311.12,C14H8Cl2O4,7179,ZINC2041185
435,"2-Ethyl-1,3-hexanediol",CCCC(C(CC)CO)O,94-96-2,146.23,C8H18O2,7211,ZINC404394
436,Ethylene carbonate,C1COC(=O)O1,96-49-1,88.06,C3H4O3,7303,ZINC1718594
437,Tetramethylthiuram monosulfide,CN(C)C(=S)SC(=S)N(C)C,97-74-5,208.37,C6H12N2S3,7347,ZINC1666745
438,Arsanilic acid,C1=CC(=CC=C1N)[As](=O)(O)O,98-50-0,217.05,C6H8AsNO3,7389,
439,"2,6-Dichloro-4-nitroaniline",C1=C(C=C(C(=C1Cl)N)Cl)[N+](=O)[O-],99-30-9,207.01,C6H4Cl2N2O2,7430,ZINC3860353
440,Methylparaben,COC(=O)C1=CC=C(C=C1)O,99-76-3,152.15,C8H8O3,7456,ZINC1712
441,Cyclamic acid,C1CCC(CC1)NS(=O)(=O)O,100-88-9,179.24,C6H13NO3S,7533,ZINC1529532
442,Barban,C1=CC(=CC(=C1)Cl)NC(=O)OCC#CCCl,101-27-9,258.10,C11H9Cl2NO2,7551,ZINC1652009
443,"4,4'-Diphenylmethane diisocyanate",C1=CC(=CC=C1CC2=CC=C(C=C2)N=C=O)N=C=O,101-68-8,250.25,C15H10N2O2,7570,ZINC1700075
444,Boric acid,B(O)(O)O,10043-35-3,61.83,H3BO3,7628,ZINC245189278
445,Monobenzone,C1=CC=C(C=C1)COC2=CC=C(C=C2)O,103-16-2,200.23,C13H12O2,7638,ZINC1748
446,Bis(2-ethylhexyl) azelate,CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC,103-24-2,412.65,C25H48O4,7642,ZINC3875708
447,Butane,CCCC,106-97-8,58.12,C4H10,7843,ZINC8214510
448,Acrylonitrile,C=CC#N,107-13-1,53.06,C3H3N,7855,ZINC901212
449,Glycolonitrile,C(C#N)O,107-16-4,57.05,C2H3NO,7857,ZINC70667160
450,Hydrogen peroxide,OO,7722-84-1,34.01,H2O2,784,
451,Sarin,CC(C)OP(=O)(C)F,107-44-8,140.09,C4H10FO2P,7871,ZINC8436831
452,Dibutyl phosphate,CCCCOP(=O)(O)OCCCC,107-66-4,210.21,C8H19O4P,7881,ZINC1577196
453,"1,3-Butanediol",CC(CCO)O,107-88-0,90.12,C4H10O2,7896,ZINC2041097
454,Biuret,C(=O)(N)NC(=O)N,108-19-0,103.08,C2H5N3O2,7913,ZINC3875757
455,Succinic anhydride,C1CC(=O)OC1=O,108-30-5,100.07,C4H4O3,7922,ZINC8681668
456,Cyanuric acid,C1(=O)NC(=O)NC(=O)N1,108-80-5,129.07,C3H3N3O3,7956,ZINC18044615
457,Hydroquinone,C1=CC(=CC=C1O)O,123-31-9,110.11,C6H6O2,785,ZINC5133378
458,Succinonitrile,C(CC#N)C#N,110-61-2,80.09,C4H4N2,8062,ZINC1680419
459,"1,4-Butanediol",C(CCO)CO,110-63-4,90.12,C4H10O2,8064,ZINC1599375
460,"1,4-Dihydroxy-2-butene",C(C=CCO)O,6117-80-2,88.11,C4H8O2,8065,ZINC5225095
461,2-Ethoxyethanol,CCOCCO,110-80-5,90.12,C4H10O2,8076,ZINC1648262
462,DI(Hydroxyethyl)ether,C(COCCO)O,111-46-6,106.12,C4H10O3,8117,ZINC1668756
463,Adiponitrile,C(CCC#N)CC#N,111-69-3,108.14,C6H8N2,8128,ZINC1683668
464,Triethylene glycol,C(COCCOCCO)O,112-27-6,150.17,C6H14O4,8172,ZINC1690436
465,Triethylene glycol monoethyl ether,CCOCCOCCOCCO,112-50-5,178.23,C8H18O4,8190,ZINC2041050
466,DL-Isoleucine,CCC(C)C(C(=O)O)N,443-79-8,131.17,C6H13NO2,791,ZINC3581355
467,Imipramine hydrochloride,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,113-52-0,316.87,C19H24N2,8228,ZINC20245
468,Propylene,CC=C,115-07-1,42.08,C3H6,8252,
469,Pentaerythritol,C(C(CO)(CO)CO)O,115-77-5,136.15,C5H12O4,8285,ZINC391843
470,Tetrafluoroethylene,C(=C(F)F)(F)F,116-14-3,100.02,C2F4,8301,ZINC40454334
471,Hexafluoropropene,C(=C(F)F)(C(F)(F)F)F,116-15-4,150.02,C3F6,8302,ZINC2041032
472,Tetradifon,C1=CC(=CC=C1S(=O)(=O)C2=CC(=C(C=C2Cl)Cl)Cl)Cl,116-29-0,356.05,C12H6Cl4O2S,8305,ZINC2041031
473,Tetrachlorophthalic anhydride,C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C(=O)OC2=O,117-08-8,285.90,C8Cl4O3,8326,ZINC8585889
474,Tecnazene,C1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)Cl,117-18-0,260.89,C6HCl4NO2,8330,ZINC1706140
475,"2,4,6-Trinitrotoluene",CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],118-96-7,227.13,C7H5N3O6,8376,ZINC14880028
476,Indole-3-acetic acid,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,87-51-4,175.18,C10H9NO2,802,ZINC83860
