"","Stimulus","Experiment","CIDs","Concentration","Ratio","Solvent"
"862",862,"keller2016","6669",0.001,"1/1000","paraffin oil"
"863",863,"keller2016","5362588",1e-05,"1/100000","paraffin oil"
"864",864,"keller2016","5362588",1e-07,"1/10000000","paraffin oil"
"865",865,"keller2016","69963",1e-05,"1/100000","paraffin oil"
"866",866,"keller2016","69963",0.001,"1/1000","paraffin oil"
"867",867,"keller2016","13187",1e-05,"1/100000","paraffin oil"
"868",868,"keller2016","13187",0.001,"1/1000","paraffin oil"
"869",869,"keller2016","13204",1e-05,"1/100000","paraffin oil"
"870",870,"keller2016","13204",0.001,"1/1000","paraffin oil"
"871",871,"keller2016","13216",0.001,"1/1000","paraffin oil"
"872",872,"keller2016","13216",1e-05,"1/100000","paraffin oil"
"873",873,"keller2016","6826",0.001,"1/1000","paraffin oil"
"874",874,"keller2016","6826",1e-05,"1/100000","paraffin oil"
"875",875,"keller2016","62332",0.001,"1/1000","paraffin oil"
"876",876,"keller2016","62332",0.1,"1/10","paraffin oil"
"877",877,"keller2016","6920",1e-05,"1/100000","paraffin oil"
"878",878,"keller2016","6920",1e-07,"1/10000000","paraffin oil"
"879",879,"keller2016","61229",0.001,"1/1000","paraffin oil"
"880",880,"keller2016","61229",0.1,"1/10","paraffin oil"
"881",881,"keller2016","13436",0.001,"1/1000","paraffin oil"
"882",882,"keller2016","13436",1e-05,"1/100000","paraffin oil"
"883",883,"keller2016","6943",1e-05,"1/100000","paraffin oil"
"884",884,"keller2016","6943",0.001,"1/1000","paraffin oil"
"885",885,"keller2016","170833",0.001,"1/1000","paraffin oil"
"886",886,"keller2016","170833",0.1,"1/10","paraffin oil"
"887",887,"keller2016","6989",0.001,"1/1000","paraffin oil"
"888",888,"keller2016","6989",1e-05,"1/100000","paraffin oil"
"889",889,"keller2016","6997",1e-05,"1/100000","paraffin oil"
"890",890,"keller2016","6997",0.001,"1/1000","paraffin oil"
"891",891,"keller2016","6998",1e-05,"1/100000","paraffin oil"
"892",892,"keller2016","6998",0.001,"1/1000","paraffin oil"
"893",893,"keller2016","460",1e-05,"1/100000","paraffin oil"
"894",894,"keller2016","460",1e-07,"1/10000000","paraffin oil"
"895",895,"keller2016","7047",0.001,"1/1000","paraffin oil"
"896",896,"keller2016","7047",1e-05,"1/100000","paraffin oil"
"897",897,"keller2016","7059",0.001,"1/1000","paraffin oil"
"898",898,"keller2016","7059",1e-05,"1/100000","paraffin oil"
"899",899,"keller2016","323",0.1,"1/10","paraffin oil"
"900",900,"keller2016","323",0.001,"1/1000","paraffin oil"
"901",901,"keller2016","7092",0.1,"1/10","paraffin oil"
"902",902,"keller2016","7092",0.001,"1/1000","paraffin oil"
"903",903,"keller2016","7095",0.001,"1/1000","paraffin oil"
"904",904,"keller2016","7095",0.1,"1/10","paraffin oil"
"905",905,"keller2016","13561",1e-05,"1/100000","paraffin oil"
"906",906,"keller2016","13561",0.001,"1/1000","paraffin oil"
"907",907,"keller2016","5281167",0.001,"1/1000","paraffin oil"
"908",908,"keller2016","5281167",1e-05,"1/100000","paraffin oil"
"909",909,"keller2016","7119",0.1,"1/10","paraffin oil"
"910",910,"keller2016","7119",0.001,"1/1000","paraffin oil"
"911",911,"keller2016","7122",0.001,"1/1000","paraffin oil"
"912",912,"keller2016","7122",0.1,"1/10","paraffin oil"
"913",913,"keller2016","7127",0.001,"1/1000","paraffin oil"
"914",914,"keller2016","7127",1e-05,"1/100000","paraffin oil"
"915",915,"keller2016","637776",1e-05,"1/100000","paraffin oil"
"916",916,"keller2016","637776",0.001,"1/1000","paraffin oil"
"917",917,"keller2016","7136",1e-05,"1/100000","paraffin oil"
"918",918,"keller2016","7136",0.001,"1/1000","paraffin oil"
"919",919,"keller2016","7137",0.1,"1/10","paraffin oil"
"920",920,"keller2016","7137",0.001,"1/1000","paraffin oil"
"921",921,"keller2016","7144",1e-07,"1/10000000","paraffin oil"
"922",922,"keller2016","7144",1e-05,"1/100000","paraffin oil"
"923",923,"keller2016","7147",1e-05,"1/100000","paraffin oil"
"924",924,"keller2016","7147",0.001,"1/1000","paraffin oil"
"925",925,"keller2016","7150",1e-07,"1/10000000","paraffin oil"
"926",926,"keller2016","7150",1e-05,"1/100000","paraffin oil"
"927",927,"keller2016","7151",0.001,"1/1000","paraffin oil"
"928",928,"keller2016","7151",0.1,"1/10","paraffin oil"
"929",929,"keller2016","7165",1e-05,"1/100000","paraffin oil"
"930",930,"keller2016","7165",0.001,"1/1000","paraffin oil"
"931",931,"keller2016","106441",0.001,"1/1000","paraffin oil"
"932",932,"keller2016","106441",1e-05,"1/100000","paraffin oil"
"933",933,"keller2016","556940",1e-07,"1/10000000","paraffin oil"
"934",934,"keller2016","556940",1e-05,"1/100000","paraffin oil"
"935",935,"keller2016","7194",0.001,"1/1000","paraffin oil"
"936",936,"keller2016","7194",0.1,"1/10","paraffin oil"
"937",937,"keller2016","638024",0.001,"1/1000","paraffin oil"
"938",938,"keller2016","638024",0.1,"1/10","paraffin oil"
"939",939,"keller2016","7288",1e-05,"1/100000","paraffin oil"
"940",940,"keller2016","7288",0.001,"1/1000","paraffin oil"
"941",941,"keller2016","7302",0.001,"1/1000","paraffin oil"
"942",942,"keller2016","7302",1e-05,"1/100000","paraffin oil"
"943",943,"keller2016","7335",1e-05,"1/100000","paraffin oil"
"944",944,"keller2016","7335",0.001,"1/1000","paraffin oil"
"945",945,"keller2016","3314",0.001,"1/1000","paraffin oil"
"946",946,"keller2016","3314",1e-05,"1/100000","paraffin oil"
"947",947,"keller2016","853433",0.001,"1/1000","paraffin oil"
"948",948,"keller2016","853433",1e-05,"1/100000","paraffin oil"
"949",949,"keller2016","7341",1e-07,"1/10000000","paraffin oil"
"950",950,"keller2016","7341",1e-05,"1/100000","paraffin oil"
"951",951,"keller2016","7360",1e-05,"1/100000","paraffin oil"
"952",952,"keller2016","7360",0.001,"1/1000","paraffin oil"
"953",953,"keller2016","7361",1e-05,"1/100000","paraffin oil"
"954",954,"keller2016","7361",0.001,"1/1000","paraffin oil"
"955",955,"keller2016","7409",1e-05,"1/100000","paraffin oil"
"956",956,"keller2016","7409",0.001,"1/1000","paraffin oil"
"957",957,"keller2016","7410",1e-05,"1/100000","paraffin oil"
"958",958,"keller2016","7410",0.001,"1/1000","paraffin oil"
"959",959,"keller2016","7463",0.1,"1/10","paraffin oil"
"960",960,"keller2016","7463",0.001,"1/1000","paraffin oil"
