Stimulus,Description
1425,"Mild and sweet, floral Rose-type odor. Warm and yet slightly dry undertones, but there are great variations according to the quality and”origin of the Geraniol."
1426,"Sweet-rosy odor, not as mild as Geranioi, and not as fruity, more herbaceous or remotely green, less “creamy”."
1427,"Powerful and lasting sweet-floral, overall green-rosy odor."
1428,"Light and fresh-rosy, green odor with some resemblance to Peony, although greener than the odor of that flower."
1429,"Sweet, fruity-floral, rosy, somewhat green and remotely Lavender-like odor of moderate tenacity."
1430,"Sweet fruity, winey-green “fermented Apple”- like, overall very pleasant odor."
1431,"Fresh-floral, light, but rather penetrating, sweet-rosy, slightly green, Magnolia-like odor of moderate tenacity. The odor has some resemblance to that of Rhodinyl formate, yet somewhat sharper."
1432,"Heavy, sweet, floral and very tenacious odor of Honeysuckle-Frangipanni-type."
1433,"Faint-rosy, very tenacious, overall mildly floral odor with Ambre-like undertones."
1434,"Refreshing and sweet-floral, fruity-rosy odor of good tenacity."
1435,"Sweet, rather heavy, fruity odor reminiscent of Apples, with undertones of red Roses, slightly fatty-oily, but overall very pleasant. Needless to say that traces of free acid are detrimental to this odor picture."
1436,"Sweeter and more floral than the n-Butyrate, less acid (and it has less tendency to become acid), yet overall a fruity odor with rosy character,"
1437,"Refreshing, sweet-peachy, but also musky odor of considerable tenacity."
1438,"Warm-sweet, floral-herbaceous odor of considerable tenacity."
1439,Fruity Geranium-like with rosy and slightly green undertones. The fruity notes resemble Banana-Pineapple.
1440,"Sweet, oily-herbaceous, overall rosy odor with fruity undertones, remotely reminiscent of Apricot and Mango."
1441,"Mild and sweet Ambre-Rose type odor with soft, balsamic undertones."
1442,"Warm-herbaceous, sweet odor with a rosy-woody undertone and good tanacity."
1443,"Rosy and somewhat green odor, milder than Geranyl acetate and much less fruity."
1444,"Sweet and mellow, rosy, and warm, tenacious odor."
1445,"Fresh, but somewhat dry, green-rosy, ‘leafy” odor, diffusive and remotely fruity. Reminiscent of Rose, Geranium, Bergamot, Ncroli, and with an intriguing note of Appleskins and ginger"
1446,"Sweet -herbaceous, woody, slightly fruity (fruit-preserve-like) odor of good tenacity. This ester has notes resembling Geranium, but it is much softer and lacks the green freshness of Geranium materials."
1447,"Mild and fresh-floral-fruity odor of good tenacity. More fruity than floral, the fruity notes resembling Peach and Apricot."
1448,"used in artificial flower absolutes and in the more delicate and long-lasting floral perfume types, such as Muguet or Jonquil, also in Tuberose."
1449,Very faint and mild rosy odor with such a lack of floralness that the odor is often described as musky
1450,"Penetrating and powerful, oily-green, lemony-fresh odor with some resemblance to that of Citral, but overall harsher, not as sweet and not as natural in its notes."
1451,"Faintly rosy, but overall fatty-acetic odor, remotely reminiscent of Acetic acid."
1452,"Fresh and leafy, Rose- and Geranium type odor, overall more resembling Geranium. Mild, oily winey undertones."
1453,"Soft and very sweet, tenacious, mildly floralhoneylike almost herbaceous odor with Geranium-like undertones and variable amounts of animal notes."
1454,Practically odorless when pure
1455,"Sweet, fruity-rosy, warm and almost balsamic-Grape-like odor with a leafy-floral undertone and moderate tenacity."
1456,"Very weak, green and rosy odor."
1457,"Virtually odorless when pure, but the ester does contribute sweet, rosy-balsamic notes to a composition when lower boiling materials are present."
1458,"Very pleasant, sweet-herbaceous, Geranium-like and fruity odor. The Geranium notes resemble the middle and late notes in natural Geranium, and the fruity notes are deep, almost “jam-like”, tenaciously sweet, yet an overall refreshing odor with a touch of leafyness,"
1459,"Powerful, fruity, almost Pineapple-like and Apple-peel-like odor with rosy-tobaccolike,herbaceous undertones."
1460,"Fruity, Apple-like, somewhat rosy odor with distinctly herbaceous-sweet undertones, also reminiscent of “’overripe fruit”."
1461,"Fresh, “leafy’’-green odor with some resemblance to the lighter “Rose” acetals. Warm-rosy undertones"
1462,"Very faint, sweet-woody, somewhat herbaceous odor of extraordinary tenacity."
1463,Virtually odorless
1464,"Virtually odorless,"
1465,"The acid itself has a very faint odor resembling that of yeast or freshly baked bread (but much weaker),"
1466,"Commercial grades usually have a faint odor,"
1467,"When absolutely pure, it is almost odorless. Certain commercial grades have a mustysweet, slightly earthy odor, somewhat similar to that observed in Hexylene glycol"
1468,"High-grade products have only a faint, sweet-oily odor"
1469,"Glyceryl monostearate is used for the same purposes as Glyceryl mono-olein, and it has some advantages in having less odor and no tendency to turn rancid."
1470,"Very faint, sweet caramellic-rootlike odor"
1471,"Powerful smoke-like, somewhat medicinal odor, sweeter than the prototype phenolic odor"
1472,"Dry-peppery, rather choking and green odor with slightly fatty and remotely fruity notes."
1473,"Very sweet, earthy-herbaceous, somewhat musty-walnut-like odor of fair tenacity. The few variations of samples show occasional contamination with traces of Phenol, which largely disturbs the odor of the ether."
1474,"Woody, dry, slightly green odor with variable amounts of a medicinal note, according to purity of the chemical."
1475,Virtually odorless when pure and freshly prepared.
1476,"Heavy, rather dry, woody-herbaceous odor with variable amounts of “phenolic” or “phenylacetic” notes, both of which will greatly influence the odor of the ester."
1477,"Pleasant sweet-woody, mild and almost balsamic odor with a discrete peppery undertone and good tenacity."
1478,"Mild, rather sweet and very tenacious balsamic-woody odor with an almost floral undertone and a pepperiness which seem to be apparent only in impure material (possibly traces of hydrocarbons)."
1479,"Delicately sweet-woody, soft and warm odor reminiscent of Patchouli and Tearose."
1480,"This odor type is very suitable for certain variations of Rose, where Civet or Honeynotes are called for, and in Oriental Rose variations in combination with heavy woody and floral notes."
1481,"Peculiar green-woody, yet somewhat floral and tenacious odor with bark- or sap-like undertones."
1482,"Very faint, but delicately sweet and mildly woody-floral odor of outstanding tenacity."
1483,"Very sweet floral, warm slightly spicy and tenacious odor, sometimes described as “Cherry-like” (American tym Cherry)."
1484,"Very mild floral, sweet odor of mildly greenspicy type, remotely reminiscent of Heliotrope and Hawthorne - but much weaker."
1485,"Very weak, sweet-fiord and somewhat green odor reminiscent of Heliotrope, but much weaker."
1486,"Very sweet, light, floral and tenacious odor with distinctly fruity (“Cherry-like”) undertones."
1487,"Intensely sweet, floral and very slightly woody-powdery odor reminiscent oft he sweetfloral notes in Mimosa and Cassie. Also remotely reminiscent of Heliotrope."
1488,"Weak, sweet, nondescript odor, remotely reminiscent of Vanilla."
1489,"Deepswect, very mild, overall fruity, berrylike odor with a “jam-like-’ and a trace of a floral undertone."
1490,Sweet-balsamic and very tenacious odor.
1491,"Powerful and rather pungent, but sweet, somewhat floral odor, rather choking at high concentration, warm-exotic, floral at proper dilution."
1492,"Faint camphoraceous-minty odor, remotely reminiscent of Pennyroyal oil or Pulegone, yet slightly more medicinal-tarry."
1493,"Very powerful and diffusive oily-fatty, “rancid” odor. Penetrating and pungent at high concentration, almost fruity, “’fermentedfruit’’- like in extreme dilution."
1494,"Fresh-herbaceous, winey and foliage-green odor, sweeter and much less penetrating than that of the aldehydc."
1495,"Green-herbaceous, vegetable-like odor, reminiscent of green beans (haricots verts), almost cabbage-leafy, with sweet-oily, somewhat coconut-like underlines."
1496,"Winey-herbaceous, oily-green odor. Ethereal and mild when pure, but traces of free Aidehyde influemxs the odor picture considerably to the disadvantage of the Acetal."
1497,"Peculiar fungus-like, earthy-sweet odor, not very powerful."
1498,"Sweet-ethereal, diffusive odor of poor tenacity. Commercial grade material often carries off-odor of sulfuraceous, tarry, phenolic or “’gassy” Styrene-like character, deriving from trace impurities, while pure Heptane is not unpleasant smelling at all."
1499,"The commercial product has a very unpleasant, sour-sweat-like, fatty odor."
1500,"Fresh and light, green-fatty, winey and sap-Iike odor of poor tenacity."
1501,"Fresh, Lemon-like, grassy -herbaceous odor with a sweet-floral undertone. The overall “lift” is primarily fruity-green."
1502,"Powerful, hcrbaceous, warm-and-cool odor  of poor tenacity. In dilution sweet, more balsamic than herbaceous"
1503,"Sweet-herbaceous, nut-like and slightly caramellic odor, practically free from fatty notes. Moderate tenacity."
1504,"Extremely powerful, fatty-green, somewhat vegetable odor of moderate tenacity."
1505,"Pungent-green odor, only in extreme dilution becoming pleasant, vegetable-juicy-green, but more fatty than the Hexenoic aldehydes."
1506,"Powerful, fresh-fatty-oily odor, reminiscent of fresh cream."
1507,"Comparatively mild and pleasant herbaceous-fruit y, ““natural” odor. Overall reminiscent of Melon and Apple skins, but with a rich and rather complex herbal undertone."
1508,"Very powerful, fruity-green odor. In dilution mostly fruity and rather pleasant."
1509,"Very fresh, light, leafy-fruity odor with rosy undertones."
1510,"Powerful, sweet, fatty-green, rather heavy odor. . Under light, grassy notes there are fruity-floral, almost animal-heavy and quite tenacious nuances of nondescript character."
1511,"Somewhat fatty-oily odor, softer than that of Heptanol, and less fruity."
1512,"Fruity, fatty-green and slightly floral odor with pleasant, leafy undenones. The delicate,leafy notes resemble those found in Applerose or Hiprose. Some observers find an earthy. green or mushroom-like note."
1513,"Pleasant, warm, sweet, slightly fruity -balsamic odor with some resemblance to Opopanax and Myrrh."
1514,"A rather uninteresting, fruity-green odor."
1515,"Pleasant, oily-green, rich and sweet odor with vinous undertone and moderate tenacity."
1516,"Faint, but sweet, fruity-winey odor, occasionally with an Almond-like undertone."
1517,"Sweet, woody-floral, somewhat green, but very weak odor, remotely reminiscent of Petitgrain."
1518,"Mild woody-gseen almost weedy or Sagelike odor of good tenacity. The odor type is, however, rather unnatural, not exactly pkasant (like damp wood) and often further spoiled by trace impurities of metallic odor, etc."
1519,"Peculiar “metallic’” odor, yet remotely reminiscent of the odor of Geranium leaves"
1520,"Sweet-green, yet fresh and slightly Tea-like odor. In higher concentration also reminiscent  of Violet leaf."
1521,"Peculiar, complex fruity odor with distinctly herbaceous, sweet undertones. There are notes resembling Chamomile and other notes resembling Apple, and there is an overall green floral odor."
1522,"Sweet fruity, Peach-like and musky odor, yet overall fresher, not as heavy as the gammaisomer. Very good tenacity."
1523,"Mild winey-brandy-like odor reminiscent of the odor of ‘“tail fractions from rectification of Fusel oil”, yet much milder. Remotely reminiscent of Cognac oil"
1524,"Fresh-green, foliage and vegetable-like odor, reminiscent of the odor of freshly crushed leaves and stems, or the juice from same. Remotely reminiscent of Violet leaf greenness."
1525,"The odor of this ester does not remind of any particular natural material, and it is therefore a rather uninteresting ester. There are oily-fruity notes of the type often found as undesirable topnotes in certain essential oils (Amyns, CedarWood, etc.), notes which are sometimes described as “odor of green potatoes or of Peanuts”."
1526,"Mild, floral-green, somewhat bark-like odor with a woody-earthy undertone, remotely reminiscent of Hyacinth."
1527,"Very faint, mild, sweet-oily odor. In compositions with more volatile ingredients, this aldehyde shows a floral effect."
1528,"Powerful, sweet and tenacious, warmwoody, somewhat balsamic odor. Not reminiscent of any particular natural material."
1529,"Peculiar metallic-medicinal odor, not very pleasant or natural."
1530,"Camphoraceous-green, somewhat woody and quite tenacious odor. Not reminiscent of any particular natural material."
1531,"Powerful, camphoraceous-woody, somewhat green and Chris-like odor of considerable tenacity."
1532,"Powerful and diffusive, fruity-floral and very sweet odor of moderate tenacity. It is less floral and more fruity than the corresponding ketone and it has a similar, but sweeter greenness."
1533,"Floral-green, fruity and warm, somewhat herbaceous odor with overall resemblance to certain notes in Jasmin"
1534,"Powerful floral-fruity odor, overall less fruity and more floral than the average commercial type of “iso-Jasmone”. Moderate tenacity, and a somewhat green topnote seems to accompany the odor for most of the duration, except for the extreme dryout notes which are more floral."
1535,"Rather nondescript, herbal odor. Greenoily, almost fresh, but not reminiscent of any particular natural material."
1536,"Very faint, fatty-oily “laundry’”-like odor. The odor is somewhat reminiscent of the odor of fresh vegetable oils."
1537,"Leather-like, somewhat tarry and dry odor (topnote), becoming sweeter on longer study, more fruity on dryout."
1538,"Mild and very sweet, also fruity and vety tenacious odor, remotely reminiscent of overripe fruit (Apples)."
1539,"Somewhat sharp, fruity-fatty, Apple and Plum-like, remotely Orris-like odor of moderate tenacity."
1540,Very mild green-herbaceous and warm odor of considerable tenacity.
1541,"Warm, somewhat caramellic-herbaceous odor of good tenacity. A complex of greenherbal and very sweet, deep notes produces an almost floral character."
1542,"Peculiar sweet-coumarinic, slightly woodyfloral odor resembling Cassie, Mimosa and New Mown Hay, yet milder than the latter."
1543,"Powerful, sweet-green, citrusy odor with some resemblance to notes in Lime oil. Good tenacity."
1544,"Winey-green, rather fatty, fermentation odor of considerable tenacity. The green undertones are much less grassy than those of the Hexylesters, and not as natural, more fatty"
1545,"Fruity-floral, somewhat Jasmin-like, fattygreen and waxy odor with some resemblance to Orris undertones."
1546,"Powerful floral, slightly oily-fruity odor of good tenacity. Less fruity than the so-called “’iso-Jasmone”, but somewhat sharper than the better-known Heptyl cyclopentanone. Overall character of a floral-fruity Jasmin type chemical"
1547,"Fatty and very ‘oily”, slightly green, but overall “rancid*’ type of odor."
1548,"Very sweet, green-floral, herbaceous-Orangeblossom-type odor of good tenacity."
1549,"Fatty-waxy, weak and somewhat Stearinlike odor of considerable tenacity."
1550,"Earthy-green, herbaceous and comparatively powerful odor of moderate tenacity."
1551,"Very weak, waxy, mild odor, characteristic of Stearic-Palmitic compounds. Excellent tenacity, and in pure esters, a pleasant overall odor, while poorer grades may show “rancid” type fatty notes, definitely disagreeable and useless."
1552,"Mild, winey-sweet, oily and floral odor with Orange/Orangeblossom and Rose-like undertones."
1553,Rather unpleasant fatty-oily odor. often described as reminiscent of the odor of “’wet sheep” ( “Lamb’s wool odor”).
1554,"Mild, sweet-oily odor with a peculiar earthy-green note, resembling the odor of freshly crushed (fresh) peanuts. Also resembling the odor of the green peel,of potatcws or raw coffee beans"
1555,"Very mild, oily-sweet odor, reminiscent of refined Peanut oil or good grade Olive oil."
1556,"Very mild oily odor, reminiscent of freshly refined Cod liver oil (no fishy notes !) or good grade Linseed oil."
1557,"Green and sweet, yet fresh-earthy saplike or barklike odor with a trace of resemblance to Verbena"
1558,"Grectt-balsamic, warm-herbaceous odor, remotely reminiscent of Myrrh and Opopanax, but much inferior with respect to tenacity."
1559,"Powerful aromatic, warm-floral, earthy odor with some resemblance to Hyacinth and Gardenia."
1560,"Ethereal-winey, but somewhat “bitter” odor, or an ‘*astringent” odor-impression, similar to that of certain unripe fruits. Waxyaldehydic notes appear along with a rather dry undertone."
1561,"Very faint, sweet-herbaceous odor. To some observers, this ester is virtually odorless."
1562,"Fruity-floral, quite diffusive odor. One is tempted to compare the odor to those of the Jasmone-related chemicals."
1563,"Mild and fatty-floral, fruity and slightly “aldehydic” odor with some resemblance to Peach and Apricot."
1564,"Oily-fatty, not very pleasant odor with earthy-mossy undertones. Older odor descriptions include the words “smokey and ink-like”, but the author is unable to detect any such odor type in the few available samples of subject material."
1565,"Mild, woody-fruity odor, earthy-green and with sweet-soil-like undertones, remotely resembling of notes in Vetiverol or VetivcryI acetate"
1566,"Ethereal and comparatively diffusive odor reminiscent of the odor of higher alifatic aldehydes, yet with much less power."
1567,"Peculiar fruity odor with a woody-animal-Iike undenone, even when no trace of Valerie acid seems to be perceptible."
1568,"Green-fruity, rather fresh and “juicy’” odorresembling that of freshly crushed unripe fruit (e. g. Gooseberry) with an undertone like wet grass."
1569,"Regular Hercolyn has a faint, woody-piney odor of considerable tenacity."
1570,"Mild Camphor-1ike odor of moderate tena-city, and not as “medicinal” as Camphor."
1571,"Faint, sweet-musky odor of excellent tenacity."
1572,"Weak and mildly floral, orrisy-waxy odor. Some observers describe the odor as “peachy”, but the author of this work fails to find any such note in subject material."
1573,"The pure material is virtually odorless. Lower grade commercial products may have a faint, sweet, oily odor and a bland taste."
1574,"Powerful but sweet-green odor, in dilution pleasant citrusy-fresh-green, in high concentration rather pungent, choking"
1575,"Powerful, diffusive, sweet, somewhat gassygreen, but not really unpleasant odor of very poor tenacity."
1576,"Sweet-oily, green odor, somewhat grassyweedy, but quite refreshing and moderately tenacious. The alcohol oxidizes very easily in air and this process affects the odor considerably to the disadvantage of the pleasantness of this alcohol."
1577,"Oily-sweet, fruity-green, Apple- and Gabarium-like odor with more sweetness and fruitiness than Galbanum, and overall more fruity than green notes. Fair tenacity"
1578,"Sweet-oily, citrusy and refreshing, green odor of moderate tenacity. Undiluted not very pleasant, rather oily-fatty, but at concentrations near 1%, or in proper composition, the odor appears more citrusy, sweeter, fresher."
1579,"Pleasant, sweet-rosy, citrusy odor, less floral than Trimethyl undecanal (known as Norhsxahydrofamesal) and Tetrahydro famesal. Very tenacious and waxy-petal-like."
1580,"Sweet and musky odor of good tenacity,"
1581,"Peculiar earthy-sweet, musty odor of moderate tenacity."
1582,Very sweet and herbaceous-winey odor with Basil-NeroIi-like notes and good tenacity.
1583,"Mild and sweet fruit y-woody odor of moderate tenacity. The fruity notes are without specific character, and the overall impression is that of a rather chemical odor"
1584,"Powerful, sweet, green-floral and somewhat woody-earthy odor of good tenacity."
1585,"Apart from having a typical Musk odor and good tenacity, it does not offer any effects that can justify its preference over the newer, related materials."
1586,"Sw.wt and musky odor of good tenacity, but not quite as powerful as the isomer of Indan type"
1587,"Sweet, herbaceous-floral, somewhat woody odor of moderate tenacity. The floral notes tend to appear rosy, the herbaceous sweetness is almost haylike/Lavender-like, and the undertones are also fruity."
1588,"Camphoraceous-musky, but also musky odor of considerable tenacity. Woody notes and degree of camphoraceous topnote seems to vary with the isomer ratio"
1589,"Warm, powerfully herbaceous, sweet “Tobacco-like”’, coumannic type odor."
1590,"The subject ester however, has only a rough minty-camphoraceous odor, somewhat reminiscent of Pennyroyal oil, and the ester could find some use as a material for masking odors for industrial purposes."
1591,"Very powerful, penetrating, fat ty-green, grassy odor. In extreme dilution more reminiscent of freshly cut grass and unripe fruits (Apple and Plum). The acrid note of the concentrated material resembles that of rancid butter"
1592,"Oily-green, rather mild, grassy odor of fairtenacity. The odor is strongly influenced by the presence (or absence) of free aldehyde."
1593,"Peculiar dry-musty, leafy-green, but overall mild and rather sweet odor. Traces of free aldehyde will naturally change the odor picture significantly."
1594,"Extremely powerful “burnt “-alliaceous- sulfuraceous odor. In dilution the odor becomes less repulsive, and shows resemblance to the odor of freshly roasted Coffee or Cocoa beans, still with some Onion-like character."
1595,"Heavy, acrid-acid, fatty-rancid odor, often described as “sweat-like’”."
1596,"Somewhat “chemical’’-winey, slightly fatt y and fruity odor, weaker than Amyl alcohol, but resembling that material, except that Hexanol seems fattier and fruitier."
1597,"Powerful, deep-green, leafy odor reminiscent of Strawbmy-leaf and wine-leaf, freshly crushed."
1598,"Powerful green-fruity, pungent vegetabielike odor, pungent in high concentrations, almost acrylic-sharp, but pleasant fruity and fresh-green in dilutions below 0.1 ‘a."
1599,"Fruity-green, refreshing and rather mild odor, reminiscent of Appleskins or unripe Apples,"
1600,no more than academic interest.
1601,verry natural green odor in combining the forces and virtues of Leaf alcohol with the so-called ‘leaf aldehyde”
1602,"Fatty and slightly acrid-musty odor in the pure state, pleasant, fruity-sweet odor in dilution."
1603,"Powerful and intensely green, grassy odor. It appears more grassy-green and foliagegreen, less fruity than the mans-2-Hexenol."
1604,"Powerful, gassy-green, but rather sharp odor, even in dilution not closely reminiscent of any natural green odor."
1605,"Powerful, fruity-green, slightly caramellicfruity in its undertone and with an overall odor often compared to that of Chrysanthemum foliage, or wine leaves. The odor is sweeter, more winey-leafy than that of the cis-3-Hexenol."
1606,"Intensely green, but rather “bitter’’-foliagelike, somewhat fatty odor. More “Chrysanthemum-like” and less fruity than its two isomers"
1607,"Intensely green, sharp-fruity and very diffusive odor, in dilution reminiscent of unripe Banana peel."
1608,"Powerful and fresh-green, sweet and fruity, very “natural” odor"
1609,"Penetrating, gassy-green diffusive odor of poor tenacity. There are fruity undertones, but they appear only in proper dilution, when the pungent gassy green notes are subdued"
1610,"Very sweet and tenacious, fruity, American I Concord-Grape-like odor."
1611,"Mild, but tenacious, green-herbaceous and woody odor."
1612,"Powerful, fruity+winey, green, Cognac-like or Brandy-like, slightly buttery-oily odor."
1613,"Fruity-winey, sweet-green odor of considcrabk power and diffusion. "
1614,"Powerful, fruit y-green, herbaceous-sweet and somewhat winey odor of moderate tenacity."
1615,"Powerful fruity-green, diffusive odor, more fruity, less green than the Acetate or the butyrate"
1616,"Powerful, fruity, sweet and diffusive odor, reminiscent of Apple, Pear and Pineapple."
1617,"Mild balsamic-green, somewhat herbaceous and refreshing odor of considerable tenacity"
1618,"It blends very well with Galbanum and with the “’carbinols” conventionally used in Iiyacinth or Lilac bases, and its greenness is different from the diffusive odor of some of the lower esters of the Hexcnyl series. Its peculiar dry note seems to rule out any predominant fruity tone which is so common in many of these esters."
1619,"Dry-green, petal-like and vegetable-like odor with waxy-sweet undertones. To some observers, it also appears floral"
1620,"Powerful and very sweet, but refreshingly citrusy, floral odor of good tenacity."
1621,"Rich and powerful, warm-fruity odor of a distinctly ““unripe”AppIe-Pineapple character and pleasant overall freshness."
1622,"Mild and sweet, green-rosy-mossy odor with undertones of herbaceous-woody, somewhat condiment-vcgetabic-like character"
1623,"Green-mossy, very tenacious odor with variabie amounts of the almost unavoidable honey-like notes"
1624,"Sweet, powerful, intensely green, somewhat ‘“vegetable’”-like but also slightly fatty, oily odor."
1625,"Powerful and diffusive, fruity-sweet odor, free from fatty notes, More fruity, more sweet than the cis-isomer, and not so dry in its greenness"
1626,"Sweet, spicy caramellic, relatively mild odor of moderate tenacity. The green notes are practically concealed in a warm-aromatic, almost spicy fragrance."
1627,"Sweet, slightly green-balsamic. tenacious odor. More green and less floral than Hexyl saiicylate."
1628,"Very powerful, in concentrated form “’gassy’’-grecn, but sweet and rich, in extremely diluted form more floral-sweet with a natural leafy note."
1629,"Fresh, powerful, yet relatively tenacious deepgreen foliage odor with slightly fruityfatty undertones."
1630,"Warm-herbaceous, green and sweet odor with a fruity undertone and moderate tenacity."
1631,"Relatively powerful, sweet-green, Apple-like odor with buttery-creamy notes."
1632,"Powerful and diffusive, sweet, butterycreamy and fruity-winey odor. It appears less Apple-like than the odor of the cis-.?-Hcxenyl iso-valeratc and much more creamy"
1633,"Moderately powerful, but pleasantly freshgreen, vegetable-juicy odor with a faintly fruity undertone."
1634,"Powerful, fresh-green, vegetable type of odor of moderate to good tenacity."
1635,"Sweet fruity Berry-and-Pear-like odor, milder than Amyl acetate, less natural, slightly floral and green."
1636,"Sweeter and fruitier than Amyl acetate, less harsh. Not quite as floral as Hexyl acetate, and not as Berry-like”."
1637,"Sweet, floral-fruity odor with caramellic “jam’’-like note and good tenacity."
1638,"Warrn-herbaceous, tealike and winey odor."
1639,"Mild Cherry -anisic, fruity-floral odor with some resemblance to Hawthorne and Heliotrope. Excellent tenacity."
1640,"Sweet, but very weak, fruity-floral odor with resemblance to Plum and NeroIi. Excellent tenacity."
1641,"Woody-green, pincy-balsamic odor with sweet-herbaceous undertones."
1642,"Sweet and warm-balsamic, herbaceous odor of good tenacity."
1643,"Green-fruity, somewhat harsh-floral or slightly sharp-floral odor with a vague resemblance to Gardenia and Jasmin."
1644,"Powerful, fruity, heavy odor, reminiscmt not of one particular fruit, but of a “melange” of unripe fruits."
1645,"Powcrful, but rather harsh-fruity, nondescript type of odor, even less natural than the n-Butyrate."
1646,"Sweet-fruity, but rather harsh, “chemical” odor with no obvious resemblance to any particular fruit."
1647,"Dry-fruity, unripe-Apricot-type odor with Ambre-like background."
1648,"Fatty, green-musky or slightly animal-heavy odor. Overall not as pleasant as the n-Hexyl lactone. Some observers find a similarity to Costus, others find Ambre or Musk. It is apparent that the odor is more animal, less fruity or floral than that of the other isomers."
1649,"Fresh-vegetable-like, slightly fruity odor resembling that of Stringbeans (haricots verts), but slightly more “grassy”"
1650,"Oily -herbaceous, slightly green, condimentlike odor with sweet undertones."
1651,"Warm-herbaccous-balsamic odor with fruity -balsamic, yet somewhat dry and almost woody undertones. The odor has been compared to that of Cypress (twigs), but it has a somewhat sharper greenness."
1652,"Very mild, sweet-oily, slightly floral odor with a trace of herbaceous undertones."
1653,"Most of these ketones have woody, woodycamphoraceous, sweet-camphoraceous or Orris-like odors"
1654,"Woody-Orris-like odor with earthy-minty, Vctivcr-like undenoncs and good tenacity."
1655,"Slightly Orris-like, mainly camphoraceousminty odor of good tenacity and considerable radiance."
1656,"Powerful, sweet-fruity odor with green herbaceous undenones."
1657,"Powerful and diffusive, dry-floral, greenherbaceous odor with considerable resemblance to part of the natural Jasmin complex."
1658,"Powerful fruity-green, oily and somewhat floral odor of moderate tenacity."
1659,"Powerful, sharp-herbaceous, fruity-weedy grecn odor."
1660,"Refreshing, sweet-herbaceous odor with musky undertone."
1661,"Very tenacious, balsamic-Vanilla-like odor of peculiar “green”’ sweetness, giving an overall impression of Cocoa or Chocolate rather than of Vanilla."
1662,"Strongly diffusive, ethereal-fruity odor, refreshingly green and reminiscent of unripe Plums and Apples."
1663,"Peculiar fruity-earthy, yet sweet and Pearlike odor with a trace of fungus-like undertone."
1664,"Dry-herbaceous, somewhat musty-metallic odor with fruity-earthy undertones, not nearly as pleasant as the n-Hexylester, and not as mushroom-like."
1665,"Mild, green-herbaceous odor with swcetspicy undenones and a vague resemblance to Labdanum."
1666,"Fresh-green, but rather weedy, more sharpsour- green than ordinary leafy odor, yet with swee~-juicy undertones. The green notes have been compared to those of freshly cut stems of hollyhock. other observers find a Violet-leaf note. The overall impression is that of a rather unpleasant greenness, from a perfumery point of view."
1667,"Rich, leafy, Hyacinth-green odor, reminiscent of cut stems of Bluebell, and also -remotely - of Galbanum."
1668,"Powerful, green-floral, refreshing odor, reminiscent of Cyclamen and vegetables."
1669,"Powerful warm-floral and green-fruity odor with spicy-herbaceous undertones. Its topnote may appear rather sharp, but in dilution it becomes distinctly fruity-floral with a vegetable note."
1670,"Powerful, sweet, nut-like, creamy odor, in high concentration unpleasantly musty-musky in extreme dilution pleasantly oily-creamy with nutlike notes."
1671,"Very mild oily odor. In the author’s opinion, of very little interest to the perfumer"
1672,"a striking similarity to the odor of “firecrackers”, or recently extinguished matches, etc. In other words, a “’burnt,sulfuraceous odor”."
1673,"Powerful, fresh-green fruity odor. Overall somewhat sharp in its note"
1674,"Powerful, fruity-green, intensely sweet and diffusive odor, reminiscent of fruits and vegetables."
1675,"Winey-Cognac-like, somewhat oily, greennut-like odor. Not as fatty or sour-oily as the Caproate or the Caprylatc, overall sweeter."
1676,"Sweet-green, fruity-winey odor, overall rather weak, but tenacious and with undertones that may vary from rosy to musky, according to origin of sample. The term ““musky” is often used in panel descriptions of odors"
1677,"Musty-rosy, mainly woody, and rather dry odor of moderate tenacity."
1678,"Peculiar sweetish-sour, almost “earthy” odor, resembling the odor of overripe fruit on the ground, with sweetearthy-herbaceous notes."
1679,"Very faint, sweet-herbaceous and floral odor with dry-bark-like green undertones, sometimesreferred to as ‘“Witch-Hazel-odor”.Poorer grades of this ester may be responsible for odor descriptions including the terms‘“phenolic” or ‘“ink-like” (which also refers to“-phcnolic’” in a secondary way) or “metallic”."
1680,"Green-fruity, almost medicinal or woody odor, vaguely resembling that of Blackcurrant. Traces of free Hydrogen sulfide - usually present in poor grade acids and esters - will completely ruin this odor picture."
1681,"Pleasant, sweet-green, oily-herbaceous and slightly winey odor, reminiscent of unripe berries or unripe Plums."
1682,"Very mild, earthy-root-like, mossy, mildew-Iike or slightly fungal odor. Some observers find the odor reminiscent of Parsnip."
1683,"Heavy-fruity odor reminiscent of unripe Apples, but with a musky undertone and sweetness. Overall less natural, less pleasant than the iso-Valerate."
1684,"Somewhat pungent-fruity, “unripe”-fruity, slightly herbaceous, but rich and natural odor with a dry tobacco-leaf-like undertone"
1685,"Fruity, pungent odor with little or no resemblance to any particular fruit or other natural product. Its initial notes are rather sharp green, quite different from the odor of the common isomers."
1686,"Powerful, oily-green creamy-waxy odor with a discrete undertone of peppery-earthy -mushroomy character. Moderate tenacity."
1687,"MiId, sweet, herbaceous-spicy odor with a floral note. Overall weaker than Anethole,not typically anisic, and more floral"
1688,"Powerful, sweet, but tarry-medicinal odor of considerable diffusion and moderate tenacity. Undertones - under the tarry notes - arc barely pmeptible as sweet-floral and actually pleasant, reminiscent of terminal notes from Ylang Ylang oil."
1689,"Very mild, Coconut-like, fruity-oily odor."
